# data from ifeffit
#------------------------
#   energy      xmu       bkg       deriv
  7647.6819       0.84871294       0.84867473      -0.13788800E-02
  7652.1861       0.84820501       0.84804175      -0.25476718E-02
  7656.7082       0.84769388       0.84741410      -0.22242665E-02
  7661.1733       0.84731530       0.84680194      -0.24925009E-02
  7665.9195       0.84669688       0.84615931      -0.36080689E-02
  7670.5338       0.84587207       0.84554240      -0.36595416E-02
  7675.2543       0.84523306       0.84491926      -0.32517033E-02
  7679.8676       0.84457139       0.84431804      -0.32334456E-02
  7684.6000       0.84393968       0.84370926      -0.33920145E-02
  7689.2502       0.84321459       0.84311887      -0.35862282E-02
  7693.9694       0.84250519       0.84252762      -0.32119625E-02
  7698.8083       0.84192980       0.84192959      -0.30811095E-02
  7703.6156       0.84127275       0.84134371      -0.35077704E-02
  7708.4798       0.84052669       0.84075919      -0.33949333E-02
  7713.2742       0.83991477       0.84019121      -0.27837385E-02
  7718.1637       0.83941320       0.83962027      -0.25568944E-02
  7722.9579       0.83889201       0.83906857      -0.28296726E-02
  7727.8347       0.83828133       0.83851558      -0.29071877E-02
  7732.5775       0.83772914       0.83798569      -0.26121572E-02
  7737.5818       0.83723647       0.83743501      -0.23695589E-02
  7742.5161       0.83678132       0.83690048      -0.19390833E-02
  7747.5722       0.83646083       0.83636142      -0.15129308E-02
  7752.5197       0.83617614       0.83584240      -0.20088763E-02
  7757.5764       0.83565728       0.83532051      -0.25648121E-02
  7762.5372       0.83515022       0.83481697      -0.26175753E-02
  7767.6332       0.83461025       0.83430833      -0.26647769E-02
  7772.6331       0.83408431       0.83381779      -0.27929299E-02
  7777.7041       0.83349308       0.83332881      -0.26787942E-02
  7782.7174       0.83301279       0.83285384      -0.25311349E-02
  7787.8021       0.83248063       0.83238064      -0.25983910E-02
  7792.8288       0.83197343       0.83192124      -0.24401643E-02
  7797.9272       0.83150456       0.83146379      -0.22086282E-02
  7803.0195       0.83108998       0.83101541      -0.23023482E-02
  7808.1707       0.83058362       0.83057047      -0.24058913E-02
  7813.3029       0.83012763       0.83013576      -0.27337439E-02
  7818.4682       0.82949012       0.82970686      -0.25304516E-02
  7823.6536       0.82911545       0.82928496      -0.18259982E-02
  7828.8461       0.82875973       0.82887114      -0.20634977E-02
  7834.0982       0.82829005       0.82846135      -0.22090910E-02
  7839.3445       0.82787609       0.82806078      -0.17440401E-02
  7844.6637       0.82759243       0.82766356      -0.19430439E-02
  7849.9510       0.82709887       0.82727758      -0.21995176E-02
  7855.2851       0.82671262       0.82689709      -0.17994739E-02
  7860.6927       0.82637908       0.82652044      -0.15961410E-02
  7866.0156       0.82607417       0.82615860      -0.13386315E-02
  7871.4385       0.82584363       0.82579899      -0.16138244E-02
  7876.7896       0.82542864       0.82545304      -0.22812876E-02
  7882.2412       0.82493111       0.82510964      -0.17580859E-02
  7887.5942       0.82472540       0.82478129      -0.12626426E-02
  7893.1012       0.82442606       0.82445260      -0.17098918E-02
  7898.4962       0.82404145       0.82413950      -0.19962835E-02
  7904.0189       0.82362754       0.82382808      -0.14918791E-02
  7909.3892       0.82344469       0.82353403      -0.11926367E-02
  7914.9679       0.82315049       0.82323769      -0.11792286E-02
  7920.3670       0.82297300       0.82295970      -0.11793702E-02
  7925.9482       0.82267874       0.82268138      -0.17485560E-02
